Cable type (Backhaul/Subsea),On-Net,Cable Network,Cable Segment,Segment,A PoP,A-end Country,A PoP Status,A Pop Type,Z PoP,B-end Country,Z PoP Status,Z Pop Type,Product,RTD(ms),Weight,Supplier/Provider,"1 Akoranga Drive, Northcote, Auckland 0627, New Zealand"
Backhaul,,N/A,AU202,,SYHM,#N/A,In Service,Telstra Domestic POP,SYDO,AUSTRALIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,au203,,SYHM,#N/A,In Service,Telstra Domestic POP,SYDP,AUSTRALIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,au204,,SYDP,AUSTRALIA,In Service,Telstra International POP,KSTX,#N/A,In Service,Telstra Domestic POP,NA,,,,
Backhaul,,N/A,au205,,SYDO,AUSTRALIA,In Service,Telstra International POP,KSTX,#N/A,In Service,Telstra Domestic POP,NA,,,,
Backhaul,,N/A,AU901,,SYDP,AUSTRALIA,In Service,Telstra International POP,AUS&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Backhaul,,N/A,AU902,,SYDO,AUSTRALIA,In Service,Telstra International POP,AUS&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Backhaul,,N/A,BR 982399 HKMI HKHH 8282,,HKMI,HONG KONG,In Service,Telstra International POP,HKHH,HONG KONG,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,BR Test,,AB19,#N/A,Decommissioned,Telstra International POP,AB19,#N/A,Decommissioned,Telstra International POP,NA,,,,
Backhaul,,N/A,BR TEST 8320,,TVT6,#N/A,Pending Decommission,Telstra International POP,TVT6,#N/A,Pending Decommission,Telstra International POP,NA,,,,
Backhaul,,N/A,EU08,,MRSJ,FRANCE,Decommissioned,Telstra International POP,FMS2,FRANCE,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,EU104,,ULHC,UNITED KINGDOM,In Service,Telstra International POP,MRSJ,FRANCE,Decommissioned,Telstra International POP,NA,,,,
Backhaul,,N/A,EU113,,ULHC,UNITED KINGDOM,In Service,Telstra International POP,MRS2,#N/A,In Service,Carrier - POP,NA,,,,
Backhaul,,N/A,EU119,,ULCN,UNITED KINGDOM,In Service,Telstra International POP,MRS1,#N/A,In Service,Carrier - POP,NA,,,,
Backhaul,,N/A,EU120,,ULHC,UNITED KINGDOM,In Service,Telstra International POP,MRS1,#N/A,In Service,Carrier - POP,NA,,,,
Backhaul,,N/A,EU121,,MRS1,#N/A,In Service,Carrier - POP,FMS2,FRANCE,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,EU125,,MRLS,#N/A,In Service,Carrier - Cable Station,FMS1,FRANCE,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,EU132,,MIL&,#N/A,In Service,Customer Premises - Generic,IBTR,ITALY,In Service,Carrier - Cable Station,NA,,,,
Backhaul,,N/A,EU133,,BRKO,OMAN,In Service,Carrier - Cable Station,BRK&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Backhaul,,N/A,EU138,,ULCN,UNITED KINGDOM,In Service,Telstra International POP,MRS2,#N/A,In Service,Carrier - POP,NA,,,,
Backhaul,,N/A,EU139,,MRS1,#N/A,In Service,Carrier - POP,MRLS,#N/A,In Service,Carrier - Cable Station,NA,,,,
Backhaul,,N/A,EU140,,ULCN,UNITED KINGDOM,In Service,Telstra International POP,MRLS,#N/A,In Service,Carrier - Cable Station,NA,,,,
Backhaul,,N/A,IN112,,CHEP,INDIA,In Service,Telstra International POP,BBGC,#N/A,In Service,Carrier - Cable Station,NA,,,,
Backhaul,,N/A,IN114,,IMWM,#N/A,In Service,Carrier - Cable Station,IMNV,INDIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,IN117,,MMB&,#N/A,In Service,Customer Premises - Generic,IMNV,INDIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,IN118,,MMB&,#N/A,In Service,Customer Premises - Generic,IMNV,INDIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,JP101,,JTHA,JAPAN,In Service,Telstra International POP,EQHS,JAPAN,In Service,Telstra International POP,PS,0.27731,60,,Backhaul Segment:  JP13
Backhaul,,N/A,ME08,,BRKO,OMAN,In Service,Carrier - Cable Station,BRK&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Backhaul,,N/A,ML105,,MKLA,MALAYSIA,In Service,Telstra International POP,KLKJ,#N/A,In Service,Carrier - POP,NA,,,,
